"id";"price";"TimeStamp";"coin";"market_cap";"volume_24h";"circulating_supple";"max_supply"
"74";"29278.98";"2023-05-04 04:01:02";"Bitcoin";"565559295801";"613342312817";"19726630301";"19363975"
"75";"29087.11";"2023-05-04 06:00:01";"Bitcoin";"563432112924";"611034051477";"19586272460";"19364018"
"76";"29087.11";"2023-05-04 06:01:02";"Bitcoin";"563432112924";"611034051477";"19586272460";"19364018"
"77";"28781.5";"2023-05-04 07:00:02";"Bitcoin";"557732786187";"604853213312";"19806591943";"19364018"
"78";"28822.3";"2023-05-04 08:00:02";"Bitcoin";"558138023542";"605291124487";"19967482499";"19364068"
"79";"28882.41";"2023-05-04 09:00:03";"Bitcoin";"559332804641";"606586844121";"20027001269";"19364068"
"80";"28930.66";"2023-05-04 10:00:02";"Bitcoin";"559227566424";"606471149107";"20037278318";"19364118"
"82";"28845.91";"2023-05-04 11:00:02";"Bitcoin";"558376098322";"605547748922";"19591737982";"19364118"
"83";"28802.37";"2023-05-04 12:00:02";"Bitcoin";"557691586958";"604803629698";"18252162394";"19364175"
"84";"28892.66";"2023-05-04 13:00:01";"Bitcoin";"559190988072";"606429695534";"17664445368";"19364175"
"85";"28882.26";"2023-05-04 14:00:01";"Bitcoin";"559343011910";"606591836555";"17521084109";"19364262"
"86";"28850.12";"2023-05-04 15:00:02";"Bitcoin";"558643916491";"605833687145";"16646098740";"19364262"
"87";"28812.58";"2023-05-04 16:00:02";"Bitcoin";"557861479311";"604982406615";"15898236284";"19364350"
"88";"28845.82";"2023-05-04 17:00:01";"Bitcoin";"558673002734";"605862477048";"15553998813";"19364350"
"89";"28968.75";"2023-05-04 18:00:02";"Bitcoin";"560470316990";"607810255492";"15418947158";"19364393"
"90";"29329.59";"2023-05-04 19:00:01";"Bitcoin";"567497134589";"615430590898";"16014247600";"19364393"
"92";"29274.69";"2023-05-04 20:00:03";"Bitcoin";"567859419225";"615821281465";"16600136121";"19364462"
"93";"29168.09";"2023-05-04 21:00:02";"Bitcoin";"564865675344";"612574683574";"16685237777";"19364462"
"94";"29255.21";"2023-05-04 22:00:02";"Bitcoin";"566864572085";"614740027803";"16823303439";"19364537"
"95";"29238.31";"2023-05-04 23:00:02";"Bitcoin";"566388320688";"614223553831";"16707934972";"19364537"
"96";"29162.03";"2023-05-05 00:00:02";"Bitcoin";"565384833943";"613133922846";"16551495679";"19364581"
"97";"29203.85";"2023-05-05 05:00:01";"Bitcoin";"564174797551";"611817554971";"15974955254";"19364712"
"98";"29270.79";"2023-05-05 08:00:02";"Bitcoin";"567851273480";"615800109119";"16466553704";"19364850"
"100";"29320.75";"2023-05-05 09:00:02";"Bitcoin";"567478049366";"615395370306";"16616786946";"19364850"
"101";"29553.84";"2023-05-05 10:00:02";"Bitcoin";"572359834035";"620687765738";"17605666065";"19364900"
